created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 13:26:12 +0000 2023;1,72E+18;Gibran Rakabuming Raka menjadi bakal calon wakil presiden (cawapres) yang akan mendampingi bakal calon presiden (capres) Prabowo Subianto. https://t.co/tcmelSb9kq;1;0;0;0;in;238091066;1,72E+18;InvestorID;https://twitter.com/InvestorID/status/1716083532907565431
Sun Oct 22 13:26:10 +0000 2023;1,72E+18;Akhirnya drama politik nasional itu berujung malam ini: Prabowo-Gibran resmi diusung sbg capres-cawapres oleh Koalisi Indonesia Maju.   Ada 3 pasangan capres-cawapres yg akan berkontestasi pada Pemilu 2024: 1. Anies-Cak Imin 2. Ganjar-Mahfud MD 3. Prabowo-Gibran https://t.co/Trb5Fq1mEX;0;0;0;2;in;127800170;1,72E+18;ilhamkhoiri;https://twitter.com/ilhamkhoiri/status/1716083527887052970
Sun Oct 22 13:25:50 +0000 2023;1,72E+18;line up capres-cawapres yang akan bertanding di pemilu 2024 sudah lengkap, yakni:  1. Anies-Muhaimin 2. Ganjar-Mahfud 3. Prabowo-Jokowi, eh maksudnya Gibran;0;1;0;14;in;1,39E+18;1,72E+18;04afrido;https://twitter.com/04afrido/status/1716083439898861766
Sun Oct 22 13:25:47 +0000 2023;1,72E+18;@asumsico menantikan hatrick prabowo sebagai capres gagal;0;0;0;0;in;553229610;1,72E+18;awendehay;https://twitter.com/awendehay/status/1716083428305797328
Sun Oct 22 13:25:10 +0000 2023;1,72E+18;BREAKING NEWS!! INILAH CAPRES-CAPWAPRES YANG AKAN DIUSUNG KOALISI INDONESIA MAJU (KIM) #GolkarIndonesia #AirlanggaHartarto #Golkar #golkarprabowo #prabowo #gibran #jokowi #berita https://t.co/jhouSf73uT;0;0;0;0;in;1,47E+18;1,72E+18;kuningemass;https://twitter.com/kuningemass/status/1716083274995601524
Sun Oct 22 13:25:10 +0000 2023;1,72E+18;Profil Prabowo Subianto Capres Koalisi Indonesia Maju https://t.co/TxVQJ7D8Na;0;0;0;0;in;1,58E+18;1,72E+18;BloombergTZ;https://twitter.com/BloombergTZ/status/1716083273594740831
Sun Oct 22 13:25:10 +0000 2023;1,72E+18;Prabowo Subianto dan Gibran Rakabuming Raka akan mendaftar ke Komisi Pemilihan Umum (KPU) sebagai bakal capres dan cawapres pada Rabu (25/10/2023).&amp nbsp  https://t.co/DtlC8wTtWo;0;1;0;6;in;154102750;1,72E+18;Beritasatu;https://twitter.com/Beritasatu/status/1716083272885924206
Sun Oct 22 13:24:33 +0000 2023;1,72E+18;@tvOneNews Alhamdulillah saya sekeluarga sudah tobat 7 turunan tidak akan pilih Prabowo lagi cukup dua kali saja semoga jadi capres se umur hidup Aamiin aamiin aamiin ya rabbal alamin.;0;1;1;35;in;940361893;1,72E+18;IstantoAr;https://twitter.com/IstantoAr/status/1716083118069923885
Sun Oct 22 13:23:34 +0000 2023;1,72E+18;Prabowo - Gibran Daftar ke KPU di Hari Terakhir Pendaftaran Capres-Cawapres https://t.co/i3WnbyCkYe #TempoNasional;1;10;4;15;in;18129942;1,72E+18;tempodotco;https://twitter.com/tempodotco/status/1716082870727647707
Sun Oct 22 13:23:23 +0000 2023;1,72E+18;🚨BREAKING NEWS🚨 Setelah Anies-Muhaimin dan Ganjar-Mahfud MD, kini giliran bakal capres Partai Gerindra Prabowo Subianto mendeklarasikan pendampingnya: Gibran Rakabuming Raka. https://t.co/zTYJjS8NTh;1;1;2;13;in;75077164;1,72E+18;voaindonesia;https://twitter.com/voaindonesia/status/1716082824816771302
